Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
PRKAB2,"AMPK Subunit Beta-2","5'-AMP-activated protein kinase subunit beta-2","Non-catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators.",others,"Homo sapiens","Non-catalytic beta and gamma subunits isoforms of the AMP-activated protein kinase",10.1074/jbc.271.15.8676,hsa04211,"Longevity regulating pathway",5565
PRKACA,"CAMP-Dependent Protein Kinase Catalytic Subunit Alpha","cAMP-dependent protein kinase catalytic subunit alpha","PRKACA phosphorylates a large number of substrates in the cytoplasm and the nucleus. It regulates the abundance of compartmentalized pools of its regulatory subunits through phosphorylation of PJA2 which binds and ubiquitinates these subunits, leading to their subsequent proteolysis. It is involved in the regulation of platelets in response to thrombin and collagen; maintains circulating platelets in a resting state by phosphorylating proteins in numerous platelet inhibitory pathways when in complex with NF-kappa-B (NFKB1 and NFKB2) and I-kappa-B-alpha (NFKBIA), but thrombin and collagen disrupt these complexes and free active PRKACA stimulates platelets and leads to platelet aggregation by phosphorylating VASP.",others,"Homo sapiens","DNA binding of repressor nuclear factor-kappaB p50/p50 depends on phosphorylation of Ser337 by the protein kinase A catalytic subunit",10.1074/jbc.M412180200,hsa04211,"Longevity regulating pathway",5566
PRKACB,"CAMP-Dependent Protein Kinase Catalytic Subunit Beta","cAMP-dependent protein kinase catalytic subunit beta","PRKACB mediates cAMP-dependent signaling triggered by receptor binding to GPCRs. PKA activation regulates diverse cellular processes such as cell proliferation, the cell cycle, differentiation and regulation of microtubule dynamics, chromatin condensation and decondensation, nuclear envelope disassembly and reassembly, as well as regulation of intracellular transport mechanisms and ion flux. It regulates the abundance of compartmentalized pools of its regulatory subunits through phosphorylation of PJA2 which binds and ubiquitinates these subunits, leading to their subsequent proteolysis.","altered intercellular communication","Homo sapiens","c-MYC activates protein kinase A (PKA) by direct transcriptional activation of the PKA catalytic subunit beta (PKA-CB) gene",10.1038/sj.onc.1205986,hsa04211,"Longevity regulating pathway",5567
PRKACG,"PKA C-Gamma","cAMP-dependent protein kinase catalytic subunit gamma","PRKACG phosphorylates a large number of substrates in the cytoplasm and the nucleus.",others,"Homo sapiens","Molecular cloning of a tissue-specific protein kinase (C gamma) from human testis -- representing a third isoform for the catalytic subunit of cAMP-dependent protein kinase",10.1210/mend-4-3-465,hsa04211,"Longevity regulating pathway",5568
PRKAG1,"AMPK Gamma1","5'-AMP-activated protein kinase subunit gamma-1","AMP/ATP-binding subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators.",others,"Homo sapiens","AMPK is a direct adenylate charge-regulated protein kinase",10.1126/science.1200094,hsa04211,"Longevity regulating pathway",5571
PRKAG2,"AMPK Subunit Gamma-2","5'-AMP-activated protein kinase subunit gamma-2","AMP/ATP-binding subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators.",others,"Homo sapiens","CBS domains form energy-sensing modules whose binding of adenosine ligands is disrupted by disease mutations",10.1172/JCI19874,hsa04211,"Longevity regulating pathway",51422
PRKAG3,"AMPK Gamma3","5'-AMP-activated protein kinase subunit gamma-3","AMP/ATP-binding subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators.",others,"Homo sapiens","CBS domains form energy-sensing modules whose binding of adenosine ligands is disrupted by disease mutations",10.1172/JCI19874,hsa04211,"Longevity regulating pathway",53632
PRKCA,PKCA,"protein kinase C, alpha","PRKCA is a phorbol ester receptor involved in signal transduction. Gain-of-function mutations in Protein Kinase Cα (PKCα) may promote synaptic defects in Alzheimer's disease.",others,"Homo sapiens","PRKCA polymorphism changes the neural basis of episodic remembering in healthy individuals",10.1371/journal.pone.0098018,hsa04150,"mTOR signaling pathway",5578
PRKCB,PKCB,"Protein Kinase C Beta","Calcium-activated, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase involved in various cellular processes such as regulation of the B-cell receptor (BCR) signalosome, oxidative stress-induced apoptosis, androgen receptor-dependent transcription regulation, insulin signaling and endothelial cells proliferation. Plays a key role in B-cell activation by regulating BCR-induced NF-kappa-B activation. Mediates the activation of the canonical NF-kappa-B pathway (NFKB1) by direct phosphorylation of CARD11/CARMA1 at 'Ser-559', 'Ser-644' and 'Ser-652'. Phosphorylation induces CARD11/CARMA1 association with lipid rafts and recruitment of the BCL10-MALT1 complex as well as MAP3K7/TAK1, which then activates IKK complex, resulting in nuclear translocation and activation of NFKB1.","NF-κB related gene","Homo sapiens","Molecular identification of protein kinase C beta in Alzheimer's disease",10.18632/aging.103994,hsa04064,"NF-kappa B signaling pathway",5579
PRKCD,ALPS3,"protein kinase C, delta","Calcium-independent, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase that plays contrasting roles in cell death and cell survival by functioning as a pro-apoptotic protein during DNA damage-induced apoptosis, but acting as an anti-apoptotic protein during cytokine receptor-initiated cell death, is involved in tumor suppression as well as survival of several cancers, is required for oxygen radical production by NADPH oxidase and acts as positive or negative regulator in platelet functional responses.","cellular senescence","Homo sapiens","Dysregulated Fc Gamma Receptor-Mediated Phagocytosis Pathway in Alzheimer's Disease: Network-Based Gene Expression Analysis",10.1016/j.neurobiolaging.2019.12.001,hsa04140,Autophagy,5580
PRKCQ,PRKCT,"Protein Kinase C Theta","Calcium-independent, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase that mediates non-redundant functions in T-cell receptor (TCR) signaling, including T-cells activation, proliferation, differentiation and survival, by mediating activation of multiple transcription factors such as NF-kappa-B, JUN, NFATC1 and NFATC2. In TCR-CD3/CD28-co-stimulated T-cells, is required for the activation of NF-kappa-B and JUN, which in turn are essential for IL2 production, and participates in the calcium-dependent NFATC1 and NFATC2 transactivation. Mediates the activation of the canonical NF-kappa-B pathway (NFKB1) by direct phosphorylation of CARD11 on several serine residues, inducing CARD11 association with lipid rafts and recruitment of the BCL10-MALT1 complex, which then activates IKK complex, resulting in nuclear translocation and activation of NFKB1.","NF-κB related gene","Homo sapiens","Differentially expressed autophagy-related genes are potential prognostic and diagnostic biomarkers in clear-cell renal cell carcinoma",10.18632/aging.102368,hsa04064,"NF-kappa B signaling pathway",5588
PRKDC,"DNPK1; p350; DNAPK","protein kinase, DNA-activated, catalytic polypeptide","DNA-PK phosphorylates threonines 5 and 7 of HSP90α, decreasing its chaperone function for clients such as AMP-activated protein kinase (AMPK), which is critical for mitochondrial biogenesis and energy metabolism.","mitochondrial dysfunction","Homo sapiens","DNA-PK Promotes the Mitochondrial, Metabolic, and Physical Decline That Occurs During Aging",10.1016/j.cmet.2017.04.008,hsa04110,"Cell cycle",5591
PROP1,CPHD2,"PROP paired-like homeobox 1","PROP1 is possibly involved in the ontogenesis of pituitary gonadotropes, as well as somatotropes, lactotropes and caudomedial thyrotropes.",others,"Homo sapiens","Insulin/IGF-1 and ROS signaling pathway cross-talk in aging and longevity determination",10.1016/j.mce.2008.11.025,unknown,Unknown,5626
PSEN1,"FAD; S182; PS1","presenilin 1","The PSEN1 gene has multiple transcriptional variants and its functions could include the cleavage of?APP?and notch receptor protein.","cellular senescence","Homo sapiens","APP Processing and Synaptic Plasticity in presenilin-1 Conditional Knockout Mice",10.1016/s0896-6273(01)00417-2,hsa04310,"Wnt signaling pathway",5663
PTEN,MMAC1,"phosphatase and tensin homolog","Tumor suppressor. Acts as a dual-specificity protein phosphatase, dephosphorylating tyrosine-, serine- and threonine-phosphorylated proteins.","cellular senescence","Homo sapiens","PTEN, Longevity and Age-Related Diseases",10.3390/biomedicines1010017,hsa04115,"p53 signaling pathway",5728
PTGES,PIG12,"Prostaglandin E Synthase","Terminal enzyme of the cyclooxygenase (COX)-2-mediated prostaglandin E2 (PGE2) biosynthetic pathway. Catalyzes the glutathione-dependent oxidoreduction of prostaglandin endoperoxide H2 (PGH2) to prostaglandin E2 (PGE2) in response to inflammatory stimuli (PubMed:18682561, PubMed:10377395, PubMed:12672824, PubMed:12460774, PubMed:10869354, PubMed:12244105). Plays a key role in inflammation response, fever and pain (By similarity). Catalyzes also the oxidoreduction of endocannabinoids into prostaglandin glycerol esters and PGG2 into 15-hydroperoxy-PGE2 (PubMed:12244105, PubMed:12672824). In addition, displays low glutathione transferase and glutathione-dependent peroxidase activities, toward 1-chloro-2,4-dinitrobenzene and 5-hydroperoxyicosatetraenoic acid (5-HPETE), respectively (PubMed:12672824).","senescence-associated secretory phenotype","Homo sapiens","Radiation promotes colorectal cancer initiation and progression by inducing senescence-associated inflammatory responses",10.1038/onc.2015.395,hsa01100,"Metabolic pathways",9536
PTGS2,COX2,"prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)","PTGS2 is responsible for production of inflammatory prostaglandins. Up-regulation of PTGS2 is also associated with increased cell adhesion, phenotypic changes, resistance to apoptosis and tumor angiogenesis.","altered intercellular communication","Homo sapiens","Ceramide-induced and Age-Associated Increase in Macrophage COX-2 Expression Is Mediated Through Up-Regulation of NF-kappa B Activity",10.1074/jbc.M207470200,hsa04370,"VEGF signaling pathway",5743
PTK2,"STK2; FAK; FADK 1","protein tyrosine kinase 2","PTK2 is necessary for fitness, egulating cell migration, adhesion, spreading, reorganization of the actin cytoskeleton.","altered intercellular communication","Homo sapiens","PTK2 rs7460 and rs7843014 Polymorphisms and Exceptional Longevity: A Functional Replication Study",10.1089/rej.2014.1570,hsa04935,"Growth hormone synthesis, secretion and action",5747
PTK2B,"CAKB; PYK2; RAFTK","protein tyrosine kinase 2 beta","Involved in stress response and signal transduction, PTK2B is an important player in a variety of processes including the regulation of ion channels by calcium and MAPK signalling.","cellular senescence","Homo sapiens","Role of Src-specific Phosphorylation Site on Focal Adhesion Kinase for Senescence-Associated Apoptosis Resistance",10.1007/s10495-006-3978-9,hsa04912,"GnRH signaling pathway",2185
PTPN1,PTP1B,"protein tyrosine phosphatase, non-receptor type 1","PTPN1 is a tyrosine-protein phosphatase which acts as a regulator of endoplasmic reticulum unfolded protein response.","loss of proteostasis","Homo sapiens","miR-125a-5p inhibits tumorigenesis in hepatocellular carcinoma",10.18632/aging.102276,hsa04910,"Insulin signaling pathway",5770
PTPN11,"PTP2C; SHP2","protein tyrosine phosphatase, non-receptor type 11","PTPN11 acts downstream of various receptor and cytoplasmic protein tyrosine kinases to participate in the signal transduction from the cell surface to the nucleus.",others,"Homo sapiens","PTPN11 mutations are associated with mild growth hormone resistance in individuals with Noonan syndrome",10.1210/jc.2005-0995,hsa04630,"JAK-STAT signaling pathway",5781
PYCR1,"P5C Reductase 1","pyrroline-5-carboxylate reductase 1","PYCR1 is a housekeeping enzyme that catalyzes the last step in proline biosynthesis. PYCR1 can utilize both NAD and NADP, but has higher affinity for NAD. PYCR1 is involved in the cellular response to oxidative stress.",others,"Homo sapiens","Mutations in PYCR1 cause cutis laxa with progeroid features",10.1038/ng.413,unknown,Unknown,5831
RACK1,"GNB2L1; Gnb2-rs1; H12.3","receptor for activated C kinase 1","The Receptor for Activated C Kinase 1 (RACK1) is a scaffold protein for different kinases and membrane receptors. It is a key mediator of various pathways and is involved in various biological events including development, immune response, brain activity and cancer.",others,"Homo sapiens","Transcriptional regulation of RACK1 and modulation of its expression: Role of steroid hormones and significance in health and aging",10.1016/j.cellsig.2017.02.010,unknown,Unknown,10399
RAD27,"ERC11; FEN1; RTH1","multifunctional nuclease RAD27","Its deletion led to significant changes of chronological lifespan in yeast, featuring both lifespan shortening and lifespan extension.","genomic instability","Homo sapiens","Identification of evolutionarily conserved genetic regulators of cellular aging",10.1111/j.1474-9726.2010.00637.x,unknown,Unknown,853747
RAD51,"HsRad51; HsT16930; BRCC5; FANCR; RAD51A; RECA","RAD51 recombinase","RAD51 is involved in DNA unwinding and repair.","genomic instability","Homo sapiens","Insights Into DNA Recombination From the Structure of a RAD51-BRCA2 Complex",10.1038/nature01230,unknown,Unknown,5888
RAD52,"DNA Repair Protein RAD52 Homolog; Recombination Protein RAD52; RAD52 Homolog, DNA Repair Protein","RAD52 homolog, DNA repair protein","Coordinated WRN and RAD52 activities are involved in replication fork rescue after DNA damage.","genomic instability","Homo sapiens","WRN Interacts Physically and Functionally With the Recombination Mediator Protein RAD52",10.1074/jbc.M303885200,unknown,Unknown,5893
RAE1,"Rae1 Protein Homolog; MRNA Export Factor","ribonucleic acid export 1","RAE1 plays a role in mitotic bipolar spindle formation. Binds mRNA. RAE1 may function in nucleocytoplasmic transport and in directly or indirectly attaching cytoplasmic mRNPs to the cytoskeleton.",others,"Homo sapiens","Rae1 Interaction With NuMA Is Required for Bipolar Spindle Formation",10.1073/pnas.0609582104,unknown,Unknown,8480
RB1,"RB; PPP1R130; OSRC","retinoblastoma 1","Rb is essential for normal mouse development.",others,"Homo sapiens","Cellular senescence and tumor suppressor gene p16",10.1002/ijc.27316,hsa04218,"Cellular senescence",5925
RB1CC1,"RB1-Inducible Coiled-Coil Protein 1","RB1-inducible coiled-coil protein 1","RB1CC1 is involved in autophagy. RB1CC1 regulates early events but also late events of autophagosome formation through direct interaction with Atg16L1. RB1CC1 is involved in repair of DNA damage caused by ionizing radiation, which subsequently improves cell survival by decreasing apoptosis.",others,"Homo sapiens","Suppression of Pyk2 kinase and cellular activities by FIP200",10.1083/jcb.149.2.423,hsa04211,"Longevity regulating pathway",9821
RECQL4,RecQ4,"RecQ helicase-like 4","RECQL4 belongs to RECQ DNA helicase family which has been shown to participate in many aspects of DNA metabolism.  RECQL4 participates in multiple DNA pathways.","genomic instability","Homo sapiens","Aging in Rothmund-Thomson Syndrome and Related RECQL4 Genetic Disorders",10.1016/j.arr.2016.06.002,unknown,Unknown,9401
RELA,"p65; NFKB3","v-rel avian reticuloendotheliosis viral oncogene homolog A","NF-kappa B, which consists of two polypeptides, p50 (M(r) 50K) and p65/RelA (M(r) 65K), is thought to be a key regulator of genes involved in responses to infection, inflammation and stress. RelA controls inducible, but not basal, transcription in NF-kappa B-regulated pathways.","altered intercellular communication","Homo sapiens","Growing old with nuclear factor-kappaB",10.1379/1466-1268(2002)007<0207:gownfb>2.0.co;2,hsa04211,"Longevity regulating pathway",5970
RELB,"V-Rel Avian Reticuloendotheliosis Viral Oncogene Homolog B","RELB Proto-Oncogene, NF-KB Subunit","NF-kappa-B is a pleiotropic transcription factor which is present in almost all cell types and is involved in many biological processed such as inflammation, immunity, differentiation, cell growth, tumorigenesis and apoptosis. NF-kappa-B is a homo- or heterodimeric complex formed by the Rel-like domain-containing proteins RELA/p65, RELB, NFKB1/p105, NFKB1/p50, REL and NFKB2/p52. The dimers bind at kappa-B sites in the DNA of their target genes and the individual dimers have distinct preferences for different kappa-B sites that they can bind with distinguishable affinity and specificity. Different dimer combinations act as transcriptional activators or repressors, respectively.","NF-κB related gene","Homo sapiens","Nuclear Factor-κB Dysregulation and α-Synuclein Pathology: Critical Interplay in the Pathogenesis of Parkinson's Disease",10.3389/fnagi.2020.00068,hsa04064,"NF-kappa B signaling pathway",5971
RET,CDHF12,"Ret Proto-Oncogene","Receptor tyrosine-protein kinase involved in numerous cellular mechanisms including cell proliferation, neuronal navigation, cell migration, and cell differentiation upon binding with glial cell derived neurotrophic factor family ligands. Phosphorylates PTK2/FAK1. Regulates both cell death/survival balance and positional information. Required for the molecular mechanisms orchestration during intestine organogenesis; involved in the development of enteric nervous system and renal organogenesis during embryonic life, and promotes the formation of Peyer's patch-like structures, a major component of the gut-associated lymphoid tissue. Modulates cell adhesion via its cleavage by caspase in sympathetic neurons and mediates cell migration in an integrin (e.g. ITGB1 and ITGB3)-dependent manner. Involved in the development of the neural crest. Active in the absence of ligand, triggering apoptosis through a mechanism that requires receptor intracellular caspase cleavage. Acts as a dependence receptor; in the presence of the ligand GDNF in somatotrophs (within pituitary), promotes survival and down regulates growth hormone (GH) production, but triggers apoptosis in absence of GDNF. Regulates nociceptor survival and size. Triggers the differentiation of rapidly adapting (RA) mechanoreceptors. Mediator of several diseases such as neuroendocrine cancers; these diseases are characterized by aberrant integrins-regulated cell migration. Mediates, through interaction with GDF15-receptor GFRAL, GDF15-induced cell-signaling in the brainstem which induces inhibition of food-intake. Activates MAPK- and AKT-signaling pathways . Isoform 1 in complex with GFRAL induces higher activation of MAPK-signaling pathway than isoform 2 in complex with GFRAL.",others,"Homo sapiens","Associations between Plasma Branched Chain Amino Acids and Health Biomarkers in Response to Resistance Exercise Training Across Age",0.3390/nu12103029,hsa05200,"Pathways in cancer",5979
RFC4,"A1 37 KDa Subunit","Replication factor C subunit 4","The elongation of primed DNA templates by DNA polymerase delta and epsilon requires the action of the accessory proteins proliferating cell nuclear antigen (PCNA) and activator 1. This subunit may be involved in the elongation of the multiprimed DNA template.","genomic instability","Homo sapiens","Studies of the cloned 37-kDa subunit of activator 1 (replication factor C) of HeLa cells",10.1073/pnas.89.12.5211,unknown,Unknown,5984
RGN,"SMP30; RC",regucalcin,"Senescence marker RGN is a calcium binding protein also called regucalcin. Its expression levels decline with age, and RGN has been linked to age-related changes in calcium signalling in the liver of rats.",others,"Homo sapiens","The Emerging Role of Regucalcin as a Tumor Suppressor: Facts and Views",10.2174/1566524016666160714124550,unknown,Unknown,9104
RHEB,"GTP-Binding Protein Rheb","GTP-binding protein Rheb","RHEB activates the protein kinase activity of mTORC1, and thereby plays a role in the regulation of apoptosis. RHEB stimulates the phosphorylation of S6K1 and EIF4EBP1 through activation of mTORC1 signaling. RHEB has low intrinsic GTPase activity.",others,"Homo sapiens","Tuberous sclerosis complex-1 and -2 gene products function together to inhibit mammalian target of rapamycin (mTOR)-mediated downstream signaling",10.1073/pnas.202476899,hsa04211,"Longevity regulating pathway",6009
RICTOR,"Rapamycin-Insensitive Companion Of MTOR","RPTOR independent companion of MTOR, complex 2","Subunit of mTORC2, which regulates cell growth and survival in response to hormonal signals. mTORC2 is activated by growth factors, but, in contrast to mTORC1, seems to be nutrient-insensitive. mTORC2 seems to function upstream of Rho GTPases to regulate the actin cytoskeleton, probably by activating one or more Rho-type guanine nucleotide exchange factors.","deregulated nutrient sensing","Homo sapiens","mTORC1-activated S6K1 phosphorylates Rictor on threonine 1135 and regulates mTORC2 signaling",10.1128/MCB.00601-09,hsa04150,"mTOR signaling pathway",253260
RIPK1,"Cell Death Protein RIP","Receptor Interacting Serine/Threonine Kinase 1","Serine-threonine kinase which is a key regulator of TNF-mediated apoptosis, necroptosis and inflammatory pathways (PubMed:25459879, PubMed:31827281, PubMed:31827280). Exhibits kinase activity-dependent functions that trigger cell death and kinase-independent scaffold functions regulating inflammatory signaling and cell survival (PubMed:11101870, PubMed:25459879). Initiates ripoptocide which describes cell death that is dependent on RIPK1, be it apoptosis or necroptosis (PubMed:31457011). Upon binding of TNF to TNFR1, RIPK1 is recruited to the TNF-R1 signaling complex (TNF-RSC also known as complex I) where it acts as a scaffold protein promoting cell survival, in part, by activating the canonical NF-kB pathway.","NF-κB related gene","Homo sapiens","TBK1 Suppresses RIPK1-Driven Apoptosis and Inflammation during Development and in Aging",10.1016/j.cell.2018.07.041,hsa04064,"NF-kappa B signaling pathway",8737
RORA,NR1F1,"RAR Related Orphan Receptor A","Nuclear receptor that binds DNA as a monomer to ROR response elements (RORE) containing a single core motif half-site 5'-AGGTCA-3' preceded by a short A-T-rich sequence. Key regulator of embryonic development, cellular differentiation, immunity, circadian rhythm as well as lipid, steroid, xenobiotics and glucose metabolism. Considered to have intrinsic transcriptional activity, have some natural ligands like oxysterols that act as agonists (25-hydroxycholesterol) or inverse agonists (7-oxygenated sterols), enhancing or repressing the transcriptional activity, respectively.",others,"Homo sapiens","Circadian clock associates with tumor microenvironment in thoracic cancers",10.18632/aging.102450,hsa04710,"Circadian rhythm",6095
RPA1,HSSB,"replication protein A1, 70kDa","As part of the heterotrimeric replication protein A complex (RPA/RP-A), RPA1 binds and stabilizes single-stranded DNA intermediates, that form during DNA replication or upon DNA stress.",others,"Homo sapiens","RNA-Seq Analysis of Differentially Expressed Genes Relevant to Mismatch Repair in Aging Hematopoietic Stem-Progenitor Cells",0.1002/jcb.28417,unknown,Unknown,6117
RPS6KA5,S6K-Alpha-5,"Ribosomal Protein S6 Kinase A5","Serine/threonine-protein kinase that is required for the mitogen or stress-induced phosphorylation of the transcription factors CREB1 and ATF1 and for the regulation of the transcription factors RELA, STAT3 and ETV1/ER81, and that contributes to gene activation by histone phosphorylation and functions in the regulation of inflammatory genes (PubMed:11909979, PubMed:12569367, PubMed:12763138, PubMed:9687510, PubMed:18511904, PubMed:9873047). Phosphorylates CREB1 and ATF1 in response to mitogenic or stress stimuli such as UV-C irradiation, epidermal growth factor (EGF) and anisomycin.","senescence-associated secretory phenotype","Homo sapiens","A principal component meta-analysis on multiple anthropometric traits identifies novel loci for body shape",10.1038/ncomms13357,hsa04010,"MAPK signaling pathway",9252
RPS6KB1,"Ribosomal Protein S6 Kinase Beta-1","ribosomal protein S6 kinase beta-1","Serine/threonine-protein kinase that acts downstream of mTOR signaling in response to growth factors and nutrients to promote cell proliferation, cell growth and cell cycle progression. It regulates protein synthesis through phosphorylation of EIF4B, RPS6 and EEF2K, and contributes to cell survival by repressing the pro-apoptotic function of BAD. It also plays a role in feedback regulation of mTORC2 by mTORC1 by phosphorylating RICTOR, resulting in the inhibition of mTORC2 and AKT1 signaling. It mediates cell survival by phosphorylating the pro-apoptotic protein BAD and suppressing its pro-apoptotic function.",others,"Homo sapiens","Regulation of elongation factor 2 kinase by p90(RSK1) and p70 S6 kinase",10.1093/emboj/20.16.4370,hsa04211,"Longevity regulating pathway",6198
RPS6KB2,"S6 Kinase-Related Kinase","ribosomal protein S6 kinase beta-2","It phosphorylates specifically ribosomal protein S6. It seems to act downstream of mTOR signaling in response to growth factors and nutrients to promote cell proliferation, cell growth and cell cycle progression in an alternative pathway regulated by MEAK7.",others,"Homo sapiens","Mammalian EAK-7 activates alternative mTOR signaling to regulate cell proliferation and migration",10.1126/sciadv.aao5838,hsa04211,"Longevity regulating pathway",6199
RPTOR,"P150 Target Of Rapamycin (TOR)-Scaffold Protein Containing WD-Repeats","regulatory-associated protein of mTOR","It involved in the control of the mammalian target of rapamycin complex 1 (mTORC1) activity which regulates cell growth and survival, and autophagy in response to nutrient and hormonal signals; functions as a scaffold for recruiting mTORC1 substrates. mTORC1 is activated in response to growth factors or amino acids. Growth factor-stimulated mTORC1 activation involves a AKT1-mediated phosphorylation of TSC1-TSC2, which leads to the activation of the RHEB GTPase that potently activates the protein kinase activity of mTORC1.","deregulated nutrient sensing","Homo sapiens","mTOR interacts with raptor to form a nutrient-sensitive complex that signals to the growth machinery",10.1016/s0092-8674(02)00808-5,hsa04211,"Longevity regulating pathway",57521
S100B,"S100; NEF","S100 calcium binding protein B","It weakly binds calcium but binds zinc very tightly-distinct binding sites with different affinities exist for both ions on each monomer. Physiological concentrations of potassium ion antagonize the binding of both divalent cations, especially affecting high-affinity calcium-binding sites.",others,"Homo sapiens","Zinc Binding to S100B Affords Regulation of Trace Metal Homeostasis and Excitotoxicity in the Brain",10.3389/fnmol.2017.00456,unknown,Unknown,6285
SDHC,"CYB560; PGL3","succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa","A member of the mitochondrial electron transport chain, SDHC homologues have been implicated in ageing of lower life forms. Mutations in the human SDHC gene have been associated with mitochondrial respiratory chain deficiency.","mitochondrial dysfunction","Homo sapiens","Mutation of a nuclear succinate dehydrogenase gene results in mitochondrial respiratory chain deficiency",10.1038/ng1095-144,hsa05010,"Alzheimer disease",6391
